UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2025,32,4758344,2409539,2348805,1718687,1651239,379635,377592,38712,36549,186828,198220,7188,6926,78489,78279,1788451,1720704,414693,413771,62060,59834,216560,227142,14096,13731,1863322,1831383,1244481,1201925,351095,350865,19403,19042,181615,192729,5289,5111,61439,61711,1299029,1256613,378277,379111,35169,35125,207082,217474,10733,10443,546217,517422,474206,449314,28540,26727,19309,17507,5213,5491,1899,1815,17050,16568,489422,464091,36416,34660,26891,24709,9478,9668,3363,3288
R,7,2025,33,4854606,2453121,2401485,1751972,1689325,384481,386727,39775,37016,192629,203516,7441,7105,76823,77796,1819836,1757892,417486,421721,63394,60218,222209,233230,14472,14136,1901604,1880689,1273486,1238250,355558,358536,20157,19602,187283,197932,5400,5278,59720,61091,1326105,1292032,380655,385541,36135,35612,212613,223325,10948,10723,551517,520796,478486,451075,28923,28191,19618,17414,5346,5584,2041,1827,17103,16705,493731,465860,36831,36180,27259,24606,9596,9905,3524,3413
R,7,2025,34,4914594,2478785,2435809,1772364,1713327,386142,392505,39317,36357,199589,210421,8082,7533,73291,75666,1836207,1779360,416978,426405,61829,58850,229013,240126,15286,14720,1932747,1925543,1299699,1273454,356832,363436,19854,19357,193945,204590,5952,5651,56465,59055,1348620,1324789,379876,389366,34885,34692,219134,229901,11601,11359,546038,510266,472665,439873,29310,29069,19463,17000,5644,5831,2130,1882,16826,16611,487587,454571,37102,37039,26944,24158,9879,10225,3685,3361
R,7,2025,35,4915280,2476622,2438658,1779584,1720434,379760,390107,38580,35545,201955,213463,8239,7592,68504,71517,1839427,1782973,407832,421466,59471,57240,230018,241476,15003,14342,1934425,1937120,1308965,1287732,351134,361218,19338,19035,196292,207842,6000,5720,52696,55573,1354728,1336087,371904,384883,33280,33754,220369,231849,11328,11073,542197,501538,470619,432702,28626,28889,19242,16510,5663,5621,2239,1872,15808,15944,484699,446886,35928,36583,26191,23486,9649,9627,3675,3269
R,7,2025,36,4767694,2404163,2363531,1735396,1670849,358330,371152,37031,33685,201477,213734,8058,7207,63871,66904,1791172,1729169,384032,400043,56925,53846,227602,240501,14344,13637,1882308,1884324,1282278,1256631,330826,343682,18369,18023,196050,208183,5980,5458,48805,52347,1324667,1302015,349478,365565,31459,31873,218502,231277,10992,10589,521855,479207,453118,414218,27504,27470,18662,15662,5427,5551,2078,1749,15066,14557,466505,427154,34554,34478,25466,21973,9100,9224,3352,3048
R,7,2025,37,4672524,2356176,2316348,1717649,1653926,337198,351144,36345,32842,196324,207667,8003,7130,60657,63639,1770395,1709490,360962,378361,55149,52119,221684,233244,14232,13316,1835459,1842888,1263998,1243871,310735,324463,17810,17412,191108,202444,5814,5352,45994,49346,1303761,1286804,327732,344639,29968,30497,212889,224438,10724,10311,520717,473460,453651,410055,26463,26681,18535,15430,5216,5223,2189,1778,14663,14293,466634,422686,33230,33722,25181,21622,8795,8806,3508,3005
R,7,2025,38,4609042,2329036,2280006,1711649,1637349,325116,339321,35040,31576,192082,203117,7875,7102,57274,61541,1761529,1691103,347522,365304,53130,50679,215929,227813,13650,13003,1814192,1812674,1261875,1231835,299358,313383,17183,16817,186859,198007,5642,5231,43275,47401,1299254,1273017,315203,332504,28921,29693,207394,219271,10276,9922,514844,467332,449774,405514,25758,25938,17857,14759,5223,5110,2233,1871,13999,14140,462275,418086,32319,32800,24209,20986,8535,8542,3374,3081
R,7,2025,39,4605535,2328604,2276931,1723226,1645554,316858,332968,34497,31280,190086,201353,8005,7209,55932,58567,1771858,1696370,338189,357227,52412,49948,213401,224908,13866,13041,1810398,1811189,1270113,1240482,291118,307323,16468,16474,184870,196340,5691,5440,42138,45130,1306502,1279409,306037,325164,28084,29234,204881,216541,10363,10125,518206,465742,453113,405072,25740,25645,18029,14806,5216,5013,2314,1769,13794,13437,465356,416961,32152,32063,24328,20714,8520,8367,3503,2916
R,7,2025,40,4589421,2316283,2273138,1722643,1648019,311046,328754,33591,30979,187516,200913,7860,7111,53627,57362,1769235,1697866,331163,351817,51149,49627,209854,224275,13575,12880,1801024,1808751,1271260,1243713,285973,303436,15999,16304,182380,195971,5533,5399,39879,43928,1305593,1281644,299749,320029,27252,29000,201484,216060,10060,10017,515259,464387,451383,404306,25073,25318,17592,14675,5136,4942,2327,1712,13748,13434,463642,416222,31414,31788,23897,20627,8370,8215,3515,2863
R,7,2025,41,4484452,2259393,2225059,1684309,1615539,297389,318709,33109,30419,185977,198299,7500,6881,51109,55212,1728661,1663439,316395,340329,50148,48749,207308,221056,12936,12601,1757547,1767285,1244321,1216120,273151,294379,15767,15930,180886,193559,5352,5169,38070,42128,1277079,1252448,286180,309825,26777,28390,199101,213001,9647,9733,501846,457774,439988,399419,24238,24330,17342,14489,5091,4740,2148,1712,13039,13084,451582,410991,30215,30504,23371,20359,8207,8055,3289,2868
